N,U/L,Avg_Frac_1,Avg_Frac_2
3,6.1,0.9924000000000001,0.0076
3,6.2,0.9754,0.0246
3,6.3,0.7475,0.25250000000000006
3,6.4,1.0,0.0
3,6.5,0.9856999999999999,0.014300000000000002
3,6.6,0.9708,0.0292
3,6.7,0.6934999999999999,0.3065
3,6.8,0.7449000000000001,0.2551
3,6.9,0.9892,0.0108
3,7.0,0.8141000000000002,0.1859
3,7.1,0.9883,0.011699999999999999
3,7.2,0.9958,0.004200000000000001
3,7.3,0.9919,0.008100000000000001
3,7.4,0.9806999999999999,0.0193
3,7.5,0.993,0.007000000000000001
3,7.6,0.9999000000000001,0.0001
3,7.7,0.9887999999999999,0.011200000000000002
3,7.8,0.9999000000000001,0.0001
3,7.9,0.9924000000000001,0.0076
3,8.0,0.991,0.009000000000000001
3,8.1,0.9925,0.0075
3,8.2,0.6832000000000003,0.3168
3,8.3,0.9972999999999999,0.0027
3,8.4,0.9849,0.0151
3,8.5,0.9948999999999999,0.0051
3,8.6,0.9688000000000001,0.031200000000000002
3,8.7,0.7426,0.25739999999999996
3,8.8,1.0,0.0
3,8.9,1.0,0.0
3,9.0,0.9954000000000001,0.0046
3,9.1,0.9991,0.0009
3,9.2,1.0,0.0
3,9.3,0.9990000000000001,0.001
3,9.4,0.9992,0.0008
3,9.5,0.9965,0.0034999999999999996
3,9.6,0.9984999999999999,0.0015
3,9.7,0.9954,0.0046
3,9.8,0.9953,0.004699999999999999
3,9.9,1.0,0.0
3,10.0,0.997,0.003
4,0.1,0.0,1.0
4,0.2,0.0,1.0
4,0.3,0.0,1.0
4,0.4,0.0,1.0
4,0.5,0.0,1.0
4,0.6,0.0,1.0
4,0.7,0.0,1.0
4,0.8,0.0,1.0
4,0.9,0.0,1.0
4,1.0,0.0,1.0
4,1.1,0.0993,0.9007
4,1.2,0.0,1.0
4,1.3,0.19640000000000002,0.8036000000000001
4,1.4,0.3613,0.6386999999999999
4,1.5,0.39099999999999996,0.6090000000000001
4,1.6,0.1607,0.8392999999999999
4,1.7,0.4911000000000001,0.5089
4,1.8,0.21470000000000006,0.7853
4,1.9,0.29889999999999994,0.7011
4,2.0,0.5025999999999999,0.4974
4,2.1,0.609,0.391
4,2.2,0.4988,0.5012
4,2.3,0.9544,0.0456
4,2.4,0.9882,0.011800000000000001
4,2.5,0.5998,0.40019999999999994
4,2.6,0.7624000000000001,0.23759999999999998
4,2.7,0.7447,0.2553
4,2.8,0.5760000000000001,0.424
4,2.9,0.9312999999999999,0.0687
4,3.0,0.7413,0.2587
4,3.1,0.8372999999999999,0.16269999999999998
4,3.2,0.7555999999999998,0.2444
4,3.3,0.8617,0.1383
4,3.4,0.7705,0.22949999999999995
4,3.5,0.7484999999999999,0.2515
4,3.6,0.5722999999999999,0.4277
4,3.7,0.9496000000000001,0.05040000000000001
4,3.8,0.9771,0.0229
4,3.9,0.7591,0.2409
4,4.0,0.9487000000000001,0.051300000000000005
4,4.1,0.5877,0.41229999999999994
4,4.2,0.7725,0.22749999999999995
4,4.3,0.7750999999999999,0.22490000000000002
4,4.4,0.5494,0.4506000000000001
4,4.5,0.9738,0.0262
4,4.6,0.9917,0.0083
4,4.7,0.8355,0.16449999999999998
4,4.8,0.7663000000000001,0.23369999999999996
4,4.9,0.8836000000000002,0.11639999999999999
4,5.0,0.8017,0.19830000000000003
4,5.1,0.7966999999999999,0.2033
4,5.2,0.9620000000000001,0.038
4,5.3,0.8438000000000001,0.1562
4,5.4,0.9570000000000001,0.04300000000000001
4,5.5,0.5994999999999999,0.4005
4,5.6,0.9126999999999998,0.08729999999999999
4,5.7,0.9817,0.018299999999999997
4,5.8,0.9614000000000001,0.038599999999999995
4,5.9,0.7696000000000001,0.2304
4,6.0,0.9482999999999998,0.051699999999999996
4,6.1,0.7770999999999999,0.22290000000000001
4,6.2,0.9969,0.0031
4,6.3,0.7832999999999999,0.21669999999999998
4,6.4,0.9925,0.0075
4,6.5,0.9728999999999999,0.0271
4,6.6,0.7678999999999999,0.23209999999999997
4,6.7,0.7857000000000001,0.21430000000000005
4,6.8,0.9665,0.0335
4,6.9,0.9913999999999998,0.0086
4,7.0,0.9536,0.0464
4,7.1,0.8251999999999999,0.1748
4,7.2,0.9823,0.0177
4,7.3,0.9999000000000001,0.0001
4,7.4,0.9759,0.0241
4,7.5,0.9344,0.0656
4,7.6,0.9875999999999999,0.0124
4,7.7,0.9653,0.0347
4,7.8,0.9654,0.034600000000000006
4,7.9,0.9620000000000001,0.038
4,8.0,0.9396000000000001,0.0604
4,8.1,0.9843,0.015700000000000002
4,8.2,0.9504,0.0496
4,8.3,1.0,0.0
4,8.4,0.8547999999999999,0.14520000000000002
4,8.5,0.9884999999999999,0.0115
4,8.6,0.9832,0.016800000000000002
